role,tier,sample_index,distance_mahal,distance_mahal_recovered,disagreement,sem_lo,sem_hi
scatter,id,4823,11.97641372680664,11.976405224562942,0.25972516698685355,,
scatter,id,9807,21.762279510498047,21.762273735039926,0.3750808772349457,,
scatter,id,1444,10.087794303894043,10.08778456618067,0.20649943429579487,,
scatter,id,1186,7.514284133911133,7.514275913088871,0.07899195099990812,,
scatter,id,5652,10.429883003234863,10.429871332289464,0.2013903959595281,,
scatter,id,1374,10.15567398071289,10.155660761192378,0.1444290795760121,,
scatter,id,9377,25.10591697692871,25.105914889698386,0.4277478587654841,,
scatter,id,6196,12.256871223449707,12.256864021469228,0.2211281103539448,,
scatter,id,468,12.135473251342773,12.135463598546862,0.16375049880319661,,
scatter,id,7432,11.118824005126953,11.118817407630662,0.19641274080391719,,
scatter,id,9244,9.241914749145508,9.241907301836283,0.1404684196729336,,
scatter,id,9859,15.97890853881836,15.978902916976246,0.2857366944309693,,
scatter,id,5830,11.842827796936035,11.842823198820996,0.16682384312476284,,
scatter,id,8577,9.719864845275879,9.719859763347928,0.13255902443422676,,
scatter,id,9082,8.455531120300293,8.455524074467359,0.09442702593187302,,
scatter,id,6882,21.244876861572266,21.244878988177632,0.46872706068526054,,
scatter,id,868,9.239075660705566,9.239071457749068,0.10280360868817955,,
scatter,id,2691,10.771743774414062,10.771742271428211,0.16630810558254477,,
scatter,id,8822,12.679840087890625,12.679838567703097,0.15005619778024606,,
scatter,id,9724,11.020734786987305,11.020733801708076,0.13415414826938596,,
scatter,id,8192,9.941730499267578,9.941729175935953,0.1628966145982856,,
scatter,id,8490,7.071098804473877,7.071094436091667,0.0891685046250707,,
scatter,id,4141,11.436386108398438,11.436380327031246,0.16100763535096255,,
scatter,id,8380,25.74164390563965,25.74164580986062,0.6714819716107313,,
scatter,id,9977,19.223188400268555,19.223185999120954,0.44329025480450013,,
scatter,id,1423,7.287777900695801,7.287773281863714,0.09549363590254614,,
scatter,id,8066,6.6829752922058105,6.68297251779948,0.08131191818507157,,
scatter,id,3754,8.106106758117676,8.106105755642893,0.10903696338402989,,
scatter,id,362,12.173410415649414,12.17340951375191,0.16056855574235243,,
scatter,id,1649,10.080756187438965,10.080755125793388,0.16658109300167095,,
scatter,id,4444,17.18084716796875,17.180849362880384,0.21374403489915703,,
scatter,id,1002,41.96440887451172,41.96442724995129,1.0155631295278,,
scatter,id,5513,12.377959251403809,12.377953679730068,0.19513766384157127,,
scatter,id,4818,15.270270347595215,15.270261787983786,0.33793031322147843,,
scatter,id,4852,15.9384183883667,15.938411218572458,0.21852727701758992,,
scatter,id,4441,10.22141170501709,10.221404536019708,0.13896613711292186,,
scatter,id,4958,11.598456382751465,11.598451033534621,0.21023075921416284,,
scatter,id,8989,11.90855598449707,11.90855398534219,0.17958483380603638,,
scatter,id,3239,17.373706817626953,17.373710444546564,0.2626128287581249,,
scatter,id,851,10.177511215209961,10.177506946118863,0.11942539102013672,,
scatter,id,5280,9.18444538116455,9.184438557573774,0.14821321329308776,,
scatter,id,2523,14.982542037963867,14.982532363990405,0.20951890512513105,,
scatter,id,5721,9.907891273498535,9.907879447379875,0.14766638670001758,,
scatter,id,270,5.70491361618042,5.704904847843469,0.057397836979951725,,
scatter,id,3555,15.65774917602539,15.657738546667497,0.28004867575725784,,
scatter,id,9608,8.092046737670898,8.092037911629456,0.1136443181325734,,
scatter,id,8677,12.678478240966797,12.678471603243795,0.23455666387372107,,
scatter,id,5378,14.919440269470215,14.919438285297472,0.2840810960037416,,
scatter,id,6023,26.696575164794922,26.69658750492896,0.5069157008830024,,
scatter,id,879,21.537546157836914,21.537558070055486,0.5174088943617068,,
scatter,id,6333,23.920772552490234,23.92078662785535,0.5606039364401625,,
scatter,id,9372,13.875057220458984,13.875063567050564,0.24772053458384535,,
scatter,id,4574,21.94236183166504,21.942383875340035,0.42522815507553097,,
scatter,id,6533,9.319321632385254,9.319325952576992,0.12638486669821813,,
scatter,id,2876,21.325021743774414,21.325038104500234,0.4974001089965041,,
scatter,id,469,13.776229858398438,13.776236808609589,0.1962113007894918,,
scatter,id,3165,13.728872299194336,13.728877069226494,0.24305313112064228,,
